# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.51216848    0.61457271   -0.18525887    0.00000003   11.75764319    0.14957788    0.39714069   -0.49999999
   -0.64481991   -0.36548037   -0.21355531    0.00000006   11.62343427    0.17242441   -0.49999997    0.29734509
   -0.00000150   -0.13009389   -0.20079059    0.00000007   10.91703581    0.16211818   -0.00000116    0.10584092
    0.00000000    0.05403144   -0.06144021    0.00000003   10.64660444    0.04960678    0.00000000   -0.04395854
    0.00000000   -0.06225491   -0.05597372    0.00000004   10.65225564    0.04519314    0.00000000    0.05064893
   -0.00000012    0.02140373   -0.13961418    0.00000006   10.70103694    0.11272439   -0.00000009   -0.01741350
   -0.00000006    0.08694452   -0.13143280    0.00000005   10.75196061    0.10611875   -0.00000004   -0.07073575
   -0.00000004    0.04358197   -0.12442289    0.00000005   10.69495046    0.10045895   -0.00000003   -0.03545713
   -0.00000022   -0.00658224   -0.14369634    0.00000003   10.70276276    0.11602033   -0.00000017    0.00535514
   -0.00000013   -0.10272064   -0.15517787    0.00000007   10.80560555    0.12529051   -0.00000010    0.08357078
   -0.00000011   -0.12803116   -0.19725232    0.00000002   10.90799760    0.15926139   -0.00000009    0.10416274
    0.00000008   -0.14986351   -0.23479129    0.00000002   11.00730014    0.18957033    0.00000006    0.12192496
    0.00000009   -0.12547195   -0.19287561    0.00000002   10.89690828    0.15572763    0.00000007    0.10208063
   -0.00000001    0.00936481   -0.14326697    0.00000002   10.70258125    0.11567365   -0.00000001   -0.00761896
   -0.00000001    0.07744293   -0.11910826    0.00000002   10.72474340    0.09616792   -0.00000001   -0.06300551
   -0.00000002    0.02947068   -0.13542618    0.00000002   10.69927816    0.10934300   -0.00000001   -0.02397656
   -0.00000002   -0.00378811   -0.14397566    0.00000001   10.70288072    0.11624584   -0.00000001    0.00308190
   -0.00000003   -0.02357541   -0.13863044    0.00000002   10.70062183    0.11193012   -0.00000003    0.01918032
   -0.00000001   -0.10761636   -0.16303575    0.00000001   10.82400728    0.13163495   -0.00000001    0.08755381
   -0.00000000    0.05379862   -0.11439217    0.00000001   10.69241573    0.09236016   -0.00000000   -0.04376912
   -0.58173140    0.00000000    0.61927227    0.00000003   11.44494249   -0.50000000   -0.45108049   -0.00000000
