-0.316711 -0.300410 -0.126423 2.437472 3.048483 3.140733 3.151324 3.794373 4.023385 4.333313 6.103118 6.441142 6.639012 7.259888 7.571735 8.816426 10.500434 10.542049 10.789088 11.218229 12.156585 12.354873 12.410404 12.583167 14.046534 14.680120 14.842430 15.334477 16.929066 17.760633 18.576192 19.250632 19.424490 20.567286 20.913848 21.513696
-0.268530 -0.183381 0.209555 2.443422 3.052047 3.140083 3.154544 3.793357 4.019910 4.335621 6.100274 6.438730 6.636298 7.259473 7.574270 8.813783 10.507926 10.545301 10.796283 11.218124 12.157035 12.355409 12.418286 12.584858 14.047451 14.676200 14.847057 15.328668 16.927345 17.756360 18.561923 19.245147 19.440156 20.567392 20.911150 21.514351
0.109559 0.144208 0.579462 2.460708 3.062008 3.138288 3.164441 3.790506 4.009729 4.342551 6.091761 6.431584 6.628154 7.258158 7.581948 8.805951 10.529731 10.554982 10.817550 11.218874 12.158364 12.356961 12.437535 12.593806 14.050367 14.664430 14.860818 15.311353 16.922159 17.743536 18.522149 19.228714 19.484129 20.567724 20.903236 21.516155
0.304385 0.388054 0.911126 2.487735 3.076255 3.135807 3.181601 3.786380 3.993650 4.354107 6.077637 6.419963 6.614566 7.255736 7.594962 8.793208 10.564071 10.570872 10.851607 11.223643 12.160521 12.359368 12.454419 12.622331 14.055771 14.644779 14.883378 15.282877 16.913424 17.722153 18.463712 19.201399 19.549585 20.568316 20.890608 21.518660
0.436940 0.584170 1.225276 2.522175 3.091761 3.133438 3.206400 3.781742 3.973332 4.370264 6.057991 6.404263 6.595527 7.251874 7.613571 8.775985 10.592635 10.608656 10.895342 11.237619 12.163405 12.362364 12.455570 12.681882 14.064447 14.617179 14.914238 15.243820 16.901010 17.692201 18.393582 19.163323 19.629586 20.569234 20.874005 21.521211
0.562255 0.762036 1.524454 2.561465 3.105476 3.132396 3.237960 3.777023 3.951985 4.390911 6.032940 6.384943 6.571090 7.246135 7.638004 8.754829 10.619857 10.661405 10.943233 11.267582 12.166868 12.365585 12.441661 12.769715 14.077458 14.581503 14.952815 15.195014 16.884730 17.653684 18.317164 19.114680 19.718764 20.570580 20.854287 21.523051
0.684203 0.929907 1.806244 2.603552 3.114879 3.134542 3.273532 3.771111 3.935692 4.415759 6.002618 6.362405 6.541507 7.238002 7.668348 8.730354 10.652082 10.720882 10.989050 11.319618 12.170692 12.368574 12.418187 12.878299 14.096151 14.537534 14.998511 15.137561 16.864343 17.606631 18.238287 19.055760 19.813327 20.572509 20.832338 21.523405
0.804142 1.090096 2.064557 2.648089 3.117754 3.143017 3.308867 3.760585 3.934053 4.444235 5.967171 6.336758 6.507505 7.226910 7.704442 8.703203 10.688846 10.786275 11.030156 11.394812 12.174586 12.370795 12.388756 13.002011 14.122213 14.484934 15.050778 15.072850 16.839549 17.551112 18.159666 18.986979 19.910571 20.575255 20.808991 21.521544
0.922683 1.243240 2.287069 2.698374 3.112018 3.163831 3.338815 3.743913 3.955592 4.475378 5.926743 6.307392 6.470768 7.212282 7.745799 8.674005 10.729698 10.857092 11.069019 11.488084 12.178167 12.355728 12.371646 13.136367 14.157785 14.423228 15.002563 15.109160 16.809975 17.487254 18.083323 18.908908 20.008412 20.579187 20.784983 21.516818
1.040130 1.389333 2.452732 2.761213 3.096078 3.208914 3.357417 3.727116 4.001650 4.507801 5.881476 6.272383 6.434573 7.193563 7.791592 8.643352 10.774216 10.932839 11.109927 11.591741 12.180943 12.321280 12.370483 13.276824 14.205630 14.351821 14.928640 15.173320 16.775160 17.415252 18.010862 18.822315 20.105010 20.584910 20.760937 21.508674
