# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.55625000       0.25407506       0.68595426       0.75160683       0.31972957
      0.55750000       0.25041064       0.69007356       0.75526721       0.31560626
      0.55875000       0.24679332       0.69415015       0.75888040       0.31152557
      0.56000000       0.24322281       0.69818413       0.76244669       0.30748739
      0.56125000       0.23969883       0.70217564       0.76596636       0.30349161
      0.56250000       0.23622106       0.70612482       0.76943974       0.29953806
      0.56375000       0.23278915       0.71003186       0.77286717       0.29562657
      0.56500000       0.22940276       0.71389697       0.77624900       0.29175692
      0.56625000       0.22606150       0.71772037       0.77958560       0.28792889
      0.56750000       0.22276499       0.72150232       0.78287737       0.28414223
      0.56875000       0.21951282       0.72524308       0.78612471       0.28039668
      0.57000000       0.21630459       0.72894293       0.78932802       0.27669194
      0.57125000       0.21313987       0.73260218       0.79248774       0.27302772
      0.57250000       0.21001822       0.73622113       0.79560430       0.26940371
      0.57375000       0.20693920       0.73980011       0.79867814       0.26581958
      0.57500000       0.20390236       0.74333946       0.80170972       0.26227499
      0.57625000       0.20090724       0.74683952       0.80469949       0.25876962
      0.57750000       0.19795338       0.75030065       0.80764791       0.25530309
      0.57875000       0.19504031       0.75372319       0.81055546       0.25187505
      0.58000000       0.19216757       0.75710752       0.81342259       0.24848514
      0.58125000       0.18933468       0.76045401       0.81624978       0.24513299
      0.58250000       0.18654117       0.76376303       0.81903751       0.24181822
      0.58375000       0.18378656       0.76703495       0.82178625       0.23854046
      0.58500000       0.18107038       0.77027016       0.82449648       0.23529934
      0.58625000       0.17839215       0.77346902       0.82716866       0.23209447
      0.58750000       0.17575141       0.77663191       0.82980328       0.22892548
      0.58875000       0.17314767       0.77975922       0.83240080       0.22579200
      0.59000000       0.17058048       0.78285132       0.83496169       0.22269364
      0.59125000       0.16804935       0.78590857       0.83748643       0.21963004
      0.59250000       0.16555384       0.78893135       0.83997548       0.21660082
      0.59375000       0.16309347       0.79192003       0.84242930       0.21360563
      0.59500000       0.16066778       0.79487496       0.84484834       0.21064409
      0.59625000       0.15827633       0.79779650       0.84723306       0.20771586
      0.59750000       0.15591867       0.80068502       0.84958391       0.20482057
      0.59875000       0.15359435       0.80354085       0.85190134       0.20195789
      0.60000000       0.15130292       0.80636433       0.85418578       0.19912746
      0.60125000       0.14904396       0.80915581       0.85643768       0.19632895
      0.60250000       0.14681703       0.81191562       0.85865746       0.19356203
      0.60375000       0.14462172       0.81464407       0.86084554       0.19082638
      0.60500000       0.14245758       0.81734150       0.86300235       0.18812168
      0.60625000       0.14032423       0.82000820       0.86512831       0.18544761
      0.60750000       0.13822123       0.82264449       0.86722381       0.18280388
      0.60875000       0.13614820       0.82525065       0.86928928       0.18019018
      0.61000000       0.13410472       0.82782700       0.87132509       0.17760622
      0.61125000       0.13209042       0.83037379       0.87333166       0.17505172
      0.61250000       0.13010489       0.83289133       0.87530936       0.17252641
      0.61375000       0.12814777       0.83537987       0.87725857       0.17003000
      0.61500000       0.12621867       0.83783968       0.87917968       0.16756224
      0.61625000       0.12431722       0.84027102       0.88107306       0.16512288
      0.61750000       0.12244306       0.84267413       0.88293906       0.16271165
      0.61875000       0.12059583       0.84504927       0.88477806       0.16032831
      0.62000000       0.11877516       0.84739666       0.88659039       0.15797264
      0.62125000       0.11698073       0.84971655       0.88837643       0.15564439
      0.62250000       0.11521217       0.85200915       0.89013650       0.15334334
      0.62375000       0.11346915       0.85427469       0.89187094       0.15106927
      0.62500000       0.11175134       0.85651338       0.89358010       0.14882198
      0.62625000       0.11005840       0.85872542       0.89526430       0.14660124
      0.62750000       0.10839001       0.86091103       0.89692387       0.14440686
      0.62875000       0.10674586       0.86307039       0.89855912       0.14223864
      0.63000000       0.10512563       0.86520371       0.90017037       0.14009638
      0.63125000       0.10352900       0.86731117       0.90175794       0.13797990
      0.63250000       0.10195567       0.86939295       0.90332212       0.13588902
      0.63375000       0.10040534       0.87144924       0.90486323       0.13382355
      0.63500000       0.09887771       0.87348021       0.90638155       0.13178331
      0.63625000       0.09737248       0.87548604       0.90787739       0.12976814
      0.63750000       0.09588938       0.87746689       0.90935102       0.12777786
      0.63875000       0.09442810       0.87942294       0.91080275       0.12581231
      0.64000000       0.09298837       0.88135434       0.91223285       0.12387132
      0.64125000       0.09156991       0.88326126       0.91364160       0.12195473
      0.64250000       0.09017244       0.88514386       0.91502928       0.12006238
      0.64375000       0.08879569       0.88700230       0.91639615       0.11819412
      0.64500000       0.08743940       0.88883673       0.91774250       0.11634977
      0.64625000       0.08610329       0.89064731       0.91906857       0.11452920
      0.64750000       0.08478711       0.89243420       0.92037464       0.11273225
      0.64875000       0.08349059       0.89419754       0.92166097       0.11095876
      0.65000000       0.08221348       0.89593750       0.92292780       0.10920857
      0.65125000       0.08095553       0.89765422       0.92417540       0.10748155
      0.65250000       0.07971648       0.89934786       0.92540402       0.10577752
      0.65375000       0.07849609       0.90101857       0.92661391       0.10409634
      0.65500000       0.07729411       0.90266650       0.92780530       0.10243787
      0.65625000       0.07611030       0.90429182       0.92897845       0.10080193
      0.65750000       0.07494442       0.90589467       0.93013359       0.09918837
      0.65875000       0.07379622       0.90747521       0.93127097       0.09759705
      0.66000000       0.07266548       0.90903360       0.93239081       0.09602780
      0.66125000       0.07155195       0.91057000       0.93349336       0.09448046
      0.66250000       0.07045541       0.91208457       0.93457884       0.09295488
      0.66375000       0.06937564       0.91357747       0.93564749       0.09145089
      0.66500000       0.06831239       0.91504887       0.93669952       0.08996832
      0.66625000       0.06726545       0.91649892       0.93773518       0.08850701
      0.66750000       0.06623459       0.91792781       0.93875467       0.08706680
      0.66875000       0.06521960       0.91933570       0.93975823       0.08564751
      0.67000000       0.06422025       0.92072276       0.94074606       0.08424897
      0.67125000       0.06323632       0.92208916       0.94171839       0.08287101
      0.67250000       0.06226761       0.92343509       0.94267543       0.08151345
      0.67375000       0.06131390       0.92476072       0.94361740       0.08017611
      0.67500000       0.06037497       0.92606623       0.94454450       0.07885881
      0.67625000       0.05945063       0.92735180       0.94545695       0.07756137
      0.67750000       0.05854065       0.92861763       0.94635496       0.07628361
      0.67875000       0.05764484       0.92986390       0.94723872       0.07502533
      0.68000000       0.05676299       0.93109079       0.94810845       0.07378635
      0.68125000       0.05589490       0.93229850       0.94896434       0.07256647
      0.68250000       0.05504037       0.93348723       0.94980659       0.07136550
      0.68375000       0.05419921       0.93465716       0.95063541       0.07018325
      0.68500000       0.05337121       0.93580850       0.95145099       0.06901952
      0.68625000       0.05255618       0.93694145       0.95225353       0.06787410
      0.68750000       0.05175393       0.93805621       0.95304321       0.06674680
      0.68875000       0.05096427       0.93915298       0.95382022       0.06563742
      0.69000000       0.05018700       0.94023197       0.95458477       0.06454574
      0.69125000       0.04942196       0.94129338       0.95533703       0.06347157
      0.69250000       0.04866893       0.94233742       0.95607719       0.06241469
      0.69375000       0.04792776       0.94336429       0.95680543       0.06137490
      0.69500000       0.04719825       0.94437422       0.95752193       0.06035199
      0.69625000       0.04648022       0.94536740       0.95822688       0.05934575
      0.69750000       0.04577349       0.94634406       0.95892045       0.05835597
      0.69875000       0.04507790       0.94730440       0.95960282       0.05738243
      0.70000000       0.04439327       0.94824863       0.96027415       0.05642492
      0.70125000       0.04371942       0.94917697       0.96093463       0.05548323
      0.70250000       0.04305619       0.95008963       0.96158442       0.05455715
      0.70375000       0.04240340       0.95098682       0.96222370       0.05364646
      0.70500000       0.04176090       0.95186877       0.96285261       0.05275095
      0.70625000       0.04112852       0.95273568       0.96347134       0.05187041
      0.70750000       0.04050609       0.95358776       0.96408005       0.05100462
      0.70875000       0.03989346       0.95442524       0.96467888       0.05015337
      0.71000000       0.03929046       0.95524831       0.96526801       0.04931644
      0.71125000       0.03869695       0.95605720       0.96584759       0.04849363
      0.71250000       0.03811277       0.95685211       0.96641777       0.04768473
      0.71375000       0.03753776       0.95763326       0.96697870       0.04688952
      0.71500000       0.03697178       0.95840086       0.96753054       0.04610779
      0.71625000       0.03641467       0.95915510       0.96807343       0.04533935
      0.71750000       0.03586630       0.95989621       0.96860752       0.04458397
      0.71875000       0.03532651       0.96062439       0.96913295       0.04384145
      0.72000000       0.03479517       0.96133983       0.96964988       0.04311160
      0.72125000       0.03427213       0.96204276       0.97015843       0.04239420
      0.72250000       0.03375726       0.96273335       0.97065874       0.04168905
      0.72375000       0.03325042       0.96341183       0.97115096       0.04099596
      0.72500000       0.03275147       0.96407838       0.97163522       0.04031473
      0.72625000       0.03226028       0.96473321       0.97211164       0.03964515
      0.72750000       0.03177673       0.96537650       0.97258037       0.03898704
      0.72875000       0.03130068       0.96600845       0.97304153       0.03834020
      0.73000000       0.03083201       0.96662925       0.97349524       0.03770444
      0.73125000       0.03037059       0.96723909       0.97394163       0.03707958
      0.73250000       0.02991630       0.96783817       0.97438083       0.03646542
      0.73375000       0.02946901       0.96842665       0.97481296       0.03586178
      0.73500000       0.02902862       0.96900473       0.97523813       0.03526848
      0.73625000       0.02859499       0.96957258       0.97565646       0.03468534
      0.73750000       0.02816802       0.97013039       0.97606808       0.03411217
      0.73875000       0.02774760       0.97067833       0.97647308       0.03354881
      0.74000000       0.02733360       0.97121658       0.97687159       0.03299509
      0.74125000       0.02692593       0.97174529       0.97726372       0.03245082
      0.74250000       0.02652447       0.97226466       0.97764956       0.03191584
      0.74375000       0.02612911       0.97277483       0.97802924       0.03138998
      0.74500000       0.02573976       0.97327598       0.97840285       0.03087309
      0.74625000       0.02535630       0.97376827       0.97877050       0.03036499
      0.74750000       0.02497864       0.97425186       0.97913229       0.02986553
      0.74875000       0.02460668       0.97472689       0.97948832       0.02937456
      0.75000000       0.02424032       0.97519354       0.97983868       0.02889191
      0.75125000       0.02387947       0.97565195       0.98018348       0.02841744
      0.75250000       0.02352402       0.97610227       0.98052280       0.02795099
      0.75375000       0.02317390       0.97654465       0.98085674       0.02749242
      0.75500000       0.02282899       0.97697924       0.98118540       0.02704158
      0.75625000       0.02248923       0.97740617       0.98150886       0.02659834
      0.75750000       0.02215451       0.97782559       0.98182721       0.02616255
      0.75875000       0.02182475       0.97823763       0.98214054       0.02573407
      0.76000000       0.02149987       0.97864243       0.98244892       0.02531276
      0.76125000       0.02117979       0.97904013       0.98275246       0.02489850
      0.76250000       0.02086441       0.97943085       0.98305122       0.02449116
      0.76375000       0.02055367       0.97981473       0.98334529       0.02409060
      0.76500000       0.02024748       0.98019189       0.98363475       0.02369670
      0.76625000       0.01994577       0.98056245       0.98391967       0.02330934
      0.76750000       0.01964845       0.98092653       0.98420014       0.02292839
      0.76875000       0.01935545       0.98128427       0.98447622       0.02255373
      0.77000000       0.01906671       0.98163576       0.98474800       0.02218526
      0.77125000       0.01878214       0.98198114       0.98501554       0.02182284
      0.77250000       0.01850168       0.98232050       0.98527891       0.02146638
      0.77375000       0.01822526       0.98265397       0.98553819       0.02111575
      0.77500000       0.01795281       0.98298165       0.98579343       0.02077085
      0.77625000       0.01768427       0.98330365       0.98604472       0.02043158
      0.77750000       0.01741956       0.98362008       0.98629211       0.02009782
      0.77875000       0.01715862       0.98393103       0.98653568       0.01976948
      0.78000000       0.01690139       0.98423660       0.98677547       0.01944646
      0.78125000       0.01664781       0.98453691       0.98701156       0.01912865
      0.78250000       0.01639782       0.98483203       0.98724401       0.01881596
      0.78375000       0.01615136       0.98512208       0.98747288       0.01850830
      0.78500000       0.01590836       0.98540713       0.98769822       0.01820557
      0.78625000       0.01566877       0.98568729       0.98792009       0.01790768
      0.78750000       0.01543254       0.98596264       0.98813855       0.01761455
      0.78875000       0.01519961       0.98623327       0.98835366       0.01732607
      0.79000000       0.01496993       0.98649927       0.98856547       0.01704218
      0.79125000       0.01474343       0.98676072       0.98877404       0.01676278
      0.79250000       0.01452008       0.98701770       0.98897940       0.01648779
      0.79375000       0.01429982       0.98727030       0.98918163       0.01621714
      0.79500000       0.01408259       0.98751859       0.98938076       0.01595073
      0.79625000       0.01386835       0.98776265       0.98957686       0.01568851
      0.79750000       0.01365706       0.98800256       0.98976995       0.01543037
      0.79875000       0.01344865       0.98823840       0.98996010       0.01517627
      0.80000000       0.01324310       0.98847023       0.99014736       0.01492611
      0.80125000       0.01304034       0.98869812       0.99033175       0.01467984
      0.80250000       0.01284035       0.98892216       0.99051334       0.01443737
      0.80375000       0.01264306       0.98914240       0.99069217       0.01419865
      0.80500000       0.01244845       0.98935892       0.99086827       0.01396360
      0.80625000       0.01225646       0.98957177       0.99104170       0.01373216
      0.80750000       0.01206706       0.98978103       0.99121249       0.01350426
      0.80875000       0.01188020       0.98998676       0.99138068       0.01327985
      0.81000000       0.01169585       0.99018902       0.99154632       0.01305885
      0.81125000       0.01151397       0.99038787       0.99170944       0.01284121
      0.81250000       0.01133451       0.99058337       0.99187008       0.01262687
      0.81375000       0.01115745       0.99077558       0.99202828       0.01241578
      0.81500000       0.01098274       0.99096455       0.99218408       0.01220786
      0.81625000       0.01081035       0.99115035       0.99233751       0.01200308
      0.81750000       0.01064024       0.99133302       0.99248862       0.01180137
      0.81875000       0.01047238       0.99151263       0.99263742       0.01160269
      0.82000000       0.01030673       0.99168922       0.99278396       0.01140697
      0.82125000       0.01014326       0.99186284       0.99292828       0.01121416
      0.82250000       0.00998194       0.99203355       0.99307040       0.01102423
      0.82375000       0.00982274       0.99220139       0.99321036       0.01083712
      0.82500000       0.00966562       0.99236641       0.99334819       0.01065277
      0.82625000       0.00951055       0.99252867       0.99348391       0.01047115
      0.82750000       0.00935750       0.99268820       0.99361757       0.01029220
      0.82875000       0.00920645       0.99284505       0.99374919       0.01011589
      0.83000000       0.00905737       0.99299927       0.99387880       0.00994216
      0.83125000       0.00891021       0.99315090       0.99400644       0.00977098
      0.83250000       0.00876497       0.99329999       0.99413211       0.00960230
      0.83375000       0.00862160       0.99344657       0.99425587       0.00943608
      0.83500000       0.00848009       0.99359068       0.99437772       0.00927228
      0.83625000       0.00834040       0.99373237       0.99449771       0.00911086
      0.83750000       0.00820252       0.99387168       0.99461585       0.00895178
      0.83875000       0.00806641       0.99400863       0.99473218       0.00879500
      0.84000000       0.00793205       0.99414329       0.99484671       0.00864049
      0.84125000       0.00779941       0.99427567       0.99495947       0.00848821
      0.84250000       0.00766848       0.99440581       0.99507049       0.00833812
      0.84375000       0.00753922       0.99453375       0.99517978       0.00819019
      0.84500000       0.00741162       0.99465953       0.99528739       0.00804437
      0.84625000       0.00728566       0.99478318       0.99539331       0.00790065
      0.84750000       0.00716130       0.99490473       0.99549759       0.00775899
      0.84875000       0.00703853       0.99502422       0.99560023       0.00761935
      0.85000000       0.00691733       0.99514167       0.99570127       0.00748170
      0.85125000       0.00679767       0.99525712       0.99580072       0.00734601
      0.85250000       0.00667955       0.99537060       0.99589861       0.00721226
      0.85375000       0.00656292       0.99548214       0.99599495       0.00708040
      0.85500000       0.00644778       0.99559176       0.99608976       0.00695042
      0.85625000       0.00633411       0.99569951       0.99618307       0.00682228
      0.85750000       0.00622189       0.99580540       0.99627490       0.00669595
      0.85875000       0.00611109       0.99590946       0.99636525       0.00657142
      0.86000000       0.00600171       0.99601172       0.99645416       0.00644864
      0.86125000       0.00589372       0.99611221       0.99654164       0.00632760
      0.86250000       0.00578710       0.99621096       0.99662770       0.00620827
      0.86375000       0.00568184       0.99630798       0.99671237       0.00609063
      0.86500000       0.00557792       0.99640330       0.99679566       0.00597464
      0.86625000       0.00547533       0.99649696       0.99687759       0.00586029
      0.86750000       0.00537404       0.99658896       0.99695817       0.00574755
      0.86875000       0.00527405       0.99667934       0.99703743       0.00563640
      0.87000000       0.00517534       0.99676812       0.99711538       0.00552681
      0.87125000       0.00507788       0.99685532       0.99719202       0.00541877
      0.87250000       0.00498167       0.99694096       0.99726739       0.00531225
      0.87375000       0.00488670       0.99702507       0.99734149       0.00520723
      0.87500000       0.00479294       0.99710766       0.99741434       0.00510369
      0.87625000       0.00470038       0.99718876       0.99748595       0.00500161
      0.87750000       0.00460901       0.99726839       0.99755634       0.00490097
      0.87875000       0.00451882       0.99734657       0.99762552       0.00480175
      0.88000000       0.00442979       0.99742331       0.99769351       0.00470393
      0.88125000       0.00434191       0.99749863       0.99776031       0.00460749
      0.88250000       0.00425517       0.99757256       0.99782594       0.00451241
      0.88375000       0.00416955       0.99764512       0.99789042       0.00441868
      0.88500000       0.00408504       0.99771631       0.99795376       0.00432627
      0.88625000       0.00400163       0.99778617       0.99801596       0.00423517
      0.88750000       0.00391931       0.99785469       0.99807705       0.00414537
      0.88875000       0.00383806       0.99792192       0.99813703       0.00405685
      0.89000000       0.00375788       0.99798785       0.99819591       0.00396958
      0.89125000       0.00367875       0.99805250       0.99825371       0.00388356
      0.89250000       0.00360067       0.99811590       0.99831044       0.00379877
      0.89375000       0.00352361       0.99817806       0.99836611       0.00371519
      0.89500000       0.00344758       0.99823898       0.99842073       0.00363281
      0.89625000       0.00337256       0.99829870       0.99847431       0.00355161
      0.89750000       0.00329854       0.99835721       0.99852686       0.00347158
      0.89875000       0.00322550       0.99841454       0.99857839       0.00339271
      0.90000000       0.00315346       0.99847071       0.99862891       0.00331498
      0.90125000       0.00308238       0.99852571       0.99867843       0.00323838
      0.90250000       0.00301226       0.99857958       0.99872696       0.00316290
      0.90375000       0.00294310       0.99863231       0.99877451       0.00308851
      0.90500000       0.00287488       0.99868393       0.99882109       0.00301522
      0.90625000       0.00280760       0.99873444       0.99886671       0.00294301
      0.90750000       0.00274125       0.99878386       0.99891138       0.00287186
      0.90875000       0.00267581       0.99883221       0.99895510       0.00280176
      0.91000000       0.00261129       0.99887948       0.99899789       0.00273271
      0.91125000       0.00254766       0.99892570       0.99903974       0.00266468
      0.91250000       0.00248494       0.99897088       0.99908068       0.00259768
      0.91375000       0.00242309       0.99901502       0.99912071       0.00253169
      0.91500000       0.00236213       0.99905814       0.99915984       0.00246669
      0.91625000       0.00230204       0.99910024       0.99919807       0.00240268
      0.91750000       0.00224282       0.99914135       0.99923541       0.00233966
      0.91875000       0.00218445       0.99918146       0.99927187       0.00227760
      0.92000000       0.00212694       0.99922060       0.99930746       0.00221649
      0.92125000       0.00207027       0.99925876       0.99934218       0.00215634
      0.92250000       0.00201443       0.99929596       0.99937604       0.00209713
      0.92375000       0.00195943       0.99933221       0.99940905       0.00203885
      0.92500000       0.00190525       0.99936751       0.99944121       0.00198149
      0.92625000       0.00185190       0.99940188       0.99947254       0.00192505
      0.92750000       0.00179935       0.99943532       0.99950303       0.00186951
      0.92875000       0.00174761       0.99946785       0.99953269       0.00181486
      0.93000000       0.00169667       0.99949946       0.99956153       0.00176111
      0.93125000       0.00164653       0.99953018       0.99958956       0.00170824
      0.93250000       0.00159718       0.99956000       0.99961678       0.00165624
      0.93375000       0.00154861       0.99958894       0.99964319       0.00160511
      0.93500000       0.00150083       0.99961700       0.99966881       0.00155484
      0.93625000       0.00145381       0.99964419       0.99969363       0.00150542
      0.93750000       0.00140757       0.99967051       0.99971767       0.00145685
      0.93875000       0.00136209       0.99969598       0.99974093       0.00140911
      0.94000000       0.00131737       0.99972061       0.99976340       0.00136221
      0.94125000       0.00127341       0.99974438       0.99978511       0.00131613
      0.94250000       0.00123020       0.99976733       0.99980605       0.00127088
      0.94375000       0.00118773       0.99978944       0.99982622       0.00122643
      0.94500000       0.00114601       0.99981073       0.99984564       0.00118280
      0.94625000       0.00110502       0.99983120       0.99986431       0.00113996
      0.94750000       0.00106477       0.99985086       0.99988222       0.00109792
      0.94875000       0.00102525       0.99986972       0.99989939       0.00105668
      0.95000000       0.00098646       0.99988777       0.99991582       0.00101622
      0.95125000       0.00094839       0.99990503       0.99993152       0.00097654
      0.95250000       0.00091103       0.99992150       0.99994647       0.00093763
      0.95375000       0.00087440       0.99993718       0.99996070       0.00089950
      0.95500000       0.00083848       0.99995209       0.99997421       0.00086214
      0.95625000       0.00080326       0.99996622       0.99998699       0.00082553
      0.95750000       0.00076876       0.99997958       0.99999906       0.00078969
      0.95875000       0.00073495       0.99999218       0.00001041       0.00075459
      0.96000000       0.00070185       0.00000401       0.00002104       0.00072025
      0.96125000       0.00066944       0.00001509       0.00003097       0.00068666
      0.96250000       0.00063773       0.00002541       0.00004019       0.00065380
      0.96375000       0.00060672       0.00003499       0.00004872       0.00062169
      0.96500000       0.00057639       0.00004382       0.00005654       0.00059030
      0.96625000       0.00054675       0.00005191       0.00006366       0.00055966
      0.96750000       0.00051779       0.00005926       0.00007009       0.00052973
      0.96875000       0.00048951       0.00006587       0.00007583       0.00050054
      0.97000000       0.00046192       0.00007176       0.00008087       0.00047207
      0.97125000       0.00043501       0.00007692       0.00008523       0.00044431
      0.97250000       0.00040877       0.00008135       0.00008891       0.00041728
      0.97375000       0.00038321       0.00008506       0.00009190       0.00039095
      0.97500000       0.00035832       0.00008805       0.00009422       0.00036534
      0.97625000       0.00033410       0.00009032       0.00009585       0.00034044
      0.97750000       0.00031055       0.00009188       0.00009681       0.00031625
      0.97875000       0.00028767       0.00009273       0.00009709       0.00029276
      0.98000000       0.00026546       0.00009287       0.00009670       0.00026998
      0.98125000       0.00024391       0.00009230       0.00009564       0.00024789
      0.98250000       0.00022303       0.00009103       0.00009391       0.00022651
      0.98375000       0.00020281       0.00008905       0.00009151       0.00020583
      0.98500000       0.00018325       0.00008638       0.00008845       0.00018584
      0.98625000       0.00016436       0.00008300       0.00008471       0.00016655
      0.98750000       0.00014612       0.00007892       0.00008032       0.00014795
      0.98875000       0.00012855       0.00007415       0.00007526       0.00013005
      0.99000000       0.00011163       0.00006868       0.00006954       0.00011283
      0.99125000       0.00009538       0.00006252       0.00006315       0.00009631
      0.99250000       0.00007978       0.00005566       0.00005611       0.00008049
      0.99375000       0.00006484       0.00004811       0.00004840       0.00006535
      0.99500000       0.00005056       0.00003987       0.00004004       0.00005090
      0.99625000       0.00003693       0.00003094       0.00003102       0.00003714
      0.99750000       0.00002396       0.00002131       0.00002133       0.00002407
      0.99875000       0.00001165       0.00001100       0.00001100       0.00001169
      1.00000000       0.00000114       0.00000113       0.00000113       0.00000114
