# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.12750000       0.99694096       0.00498167       0.00531225       0.99726739
      0.12875000       0.99685532       0.00507788       0.00541877       0.99719202
      0.13000000       0.99676812       0.00517533       0.00552681       0.99711538
      0.13125000       0.99667934       0.00527405       0.00563640       0.99703743
      0.13250000       0.99658896       0.00537404       0.00574755       0.99695817
      0.13375000       0.99649695       0.00547533       0.00586029       0.99687759
      0.13500000       0.99640330       0.00557792       0.00597464       0.99679566
      0.13625000       0.99630798       0.00568184       0.00609063       0.99671237
      0.13750000       0.99621095       0.00578710       0.00620827       0.99662770
      0.13875000       0.99611221       0.00589371       0.00632760       0.99654164
      0.14000000       0.99601172       0.00600171       0.00644864       0.99645416
      0.14125000       0.99590946       0.00611109       0.00657142       0.99636525
      0.14250000       0.99580539       0.00622189       0.00669595       0.99627490
      0.14375000       0.99569950       0.00633411       0.00682228       0.99618307
      0.14500000       0.99559176       0.00644778       0.00695042       0.99608976
      0.14625000       0.99548213       0.00656292       0.00708040       0.99599495
      0.14750000       0.99537060       0.00667954       0.00721225       0.99589861
      0.14875000       0.99525712       0.00679767       0.00734601       0.99580072
      0.15000000       0.99514166       0.00691733       0.00748170       0.99570127
      0.15125000       0.99502421       0.00703853       0.00761935       0.99560023
      0.15250000       0.99490473       0.00716130       0.00775899       0.99549759
      0.15375000       0.99478318       0.00728566       0.00790065       0.99539331
      0.15500000       0.99465953       0.00741162       0.00804437       0.99528739
      0.15625000       0.99453375       0.00753922       0.00819018       0.99517978
      0.15750000       0.99440580       0.00766848       0.00833812       0.99507049
      0.15875000       0.99427566       0.00779941       0.00848821       0.99495947
      0.16000000       0.99414328       0.00793205       0.00864049       0.99484671
      0.16125000       0.99400863       0.00806641       0.00879500       0.99473218
      0.16250000       0.99387167       0.00820252       0.00895178       0.99461585
      0.16375000       0.99373236       0.00834040       0.00911086       0.99449771
      0.16500000       0.99359067       0.00848009       0.00927228       0.99437772
      0.16625000       0.99344656       0.00862160       0.00943608       0.99425587
      0.16750000       0.99329998       0.00876497       0.00960230       0.99413211
      0.16875000       0.99315090       0.00891021       0.00977098       0.99400644
      0.17000000       0.99299926       0.00905736       0.00994216       0.99387881
      0.17125000       0.99284504       0.00920645       0.01011589       0.99374919
      0.17250000       0.99268819       0.00935750       0.01029220       0.99361757
      0.17375000       0.99252866       0.00951055       0.01047114       0.99348391
      0.17500000       0.99236640       0.00966562       0.01065277       0.99334819
