# Chirality               1              -1              -1               1               1              -1              -1               1
# k            phase           phase           phase           phase           phase           phase           phase           phase
      0.14250000       0.00222562       0.00039770       0.00032575       0.00214123       0.00219940       0.00037001       0.00029835       0.00211470
      0.14500000       0.00228550       0.00038240       0.00030750       0.00219798       0.00225888       0.00035425       0.00027965       0.00217103
      0.14750000       0.00234642       0.00036598       0.00028807       0.00225569       0.00231939       0.00033737       0.00025976       0.00222832
      0.15000000       0.00240839       0.00034842       0.00026741       0.00231438       0.00238096       0.00031935       0.00023866       0.00228660
      0.15250000       0.00247145       0.00032968       0.00024550       0.00237408       0.00244361       0.00030015       0.00021630       0.00234589
      0.15500000       0.00253563       0.00030973       0.00022231       0.00243482       0.00250739       0.00027976       0.00019266       0.00240622
      0.15750000       0.00260095       0.00028855       0.00019780       0.00249662       0.00257231       0.00025812       0.00016771       0.00246763
      0.16000000       0.00266744       0.00026609       0.00017195       0.00255953       0.00263841       0.00023522       0.00014141       0.00253013
      0.16250000       0.00273515       0.00024233       0.00014470       0.00262357       0.00270573       0.00021101       0.00011373       0.00259377
      0.16500000       0.00280410       0.00021723       0.00011604       0.00268877       0.00277429       0.00018546       0.00008463       0.00265857
      0.16750000       0.00287433       0.00019076       0.00008591       0.00275516       0.00284413       0.00015855       0.00005407       0.00272458
      0.17000000       0.00294588       0.00016286       0.00005428       0.00282279       0.00291530       0.00013021       0.00002201       0.00279182
      0.17250000       0.00301878       0.00013352       0.00002112       0.00289169       0.00298782       0.00010043       0.99998841       0.00286033
      0.17500000       0.00309308       0.00010268       0.99998637       0.00296190       0.00306174       0.00006915       0.99995323       0.00293015
      0.17750000       0.00316881       0.00007030       0.99994999       0.00303346       0.00313710       0.00003633       0.99991642       0.00300133
      0.18000000       0.00324603       0.00003634       0.99991193       0.00310641       0.00321394       0.00000194       0.99987794       0.00307390
      0.18250000       0.00332477       0.00000074       0.99987216       0.00318079       0.00329232       0.99996591       0.99983774       0.00314791
      0.18500000       0.00340509       0.99996347       0.99983061       0.00325666       0.00337227       0.99992821       0.99979577       0.00322340
      0.18750000       0.00348703       0.99992447       0.99978723       0.00333405       0.00345385       0.99988879       0.99975198       0.00330043
      0.19000000       0.00357065       0.99988370       0.99974198       0.00341303       0.00353710       0.99984758       0.99970632       0.00337903
      0.19250000       0.00365599       0.99984108       0.99969480       0.00349363       0.00362209       0.99980455       0.99965872       0.00345927
      0.19500000       0.00374312       0.99979658       0.99964562       0.00357592       0.00370887       0.99975962       0.99960913       0.00354120
      0.19750000       0.00383210       0.99975013       0.99959439       0.00365995       0.00379749       0.99971275       0.99955749       0.00362488
      0.20000000       0.00392298       0.99970166       0.99954104       0.00374578       0.00388803       0.99966387       0.99950373       0.00371036
      0.20250000       0.00401583       0.99965112       0.99948551       0.00383348       0.00398053       0.99961291       0.99944780       0.00379770
      0.20500000       0.00411071       0.99959844       0.99942773       0.00392310       0.00407507       0.99955981       0.99938961       0.00388698
      0.20750000       0.00420770       0.99954354       0.99936762       0.00401472       0.00417172       0.99950451       0.99932911       0.00397826
      0.21000000       0.00430686       0.99948636       0.99930511       0.00410840       0.00427056       0.99944692       0.99926620       0.00407160
      0.21250000       0.00440828       0.99942681       0.99924013       0.00420422       0.00437165       0.99938697       0.99920082       0.00416709
      0.21500000       0.00451203       0.99936483       0.99917258       0.00430226       0.00447507       0.99932458       0.99913289       0.00426479
      0.21750000       0.00461820       0.99930032       0.99910239       0.00440260       0.00458092       0.99925967       0.99906231       0.00436480
      0.22000000       0.00472687       0.99923320       0.99902947       0.00450532       0.00468927       0.99919216       0.99898901       0.00446720
      0.22250000       0.00483814       0.99916338       0.99895372       0.00461051       0.00480022       0.99912194       0.99891287       0.00457207
      0.22500000       0.00495209       0.99909076       0.99887505       0.00471826       0.00491386       0.99904893       0.99883382       0.00467950
      0.22750000       0.00506884       0.99901524       0.99879335       0.00482867       0.00503030       0.99897303       0.99875175       0.00478960
      0.23000000       0.00518847       0.99893673       0.99870852       0.00494185       0.00514963       0.99889412       0.99866654       0.00490247
      0.23250000       0.00531111       0.99885511       0.99862044       0.00505789       0.00527197       0.99881212       0.99857809       0.00501821
      0.23500000       0.00543687       0.99877026       0.99852900       0.00517692       0.00539743       0.99872689       0.99848628       0.00513694
      0.23750000       0.00556587       0.99868207       0.99843408       0.00529904       0.00552614       0.99863832       0.99839100       0.00525876
      0.24000000       0.00569823       0.99859041       0.99833554       0.00542439       0.00565821       0.99854628       0.99829210       0.00538382
      0.24250000       0.00583409       0.99849515       0.99823326       0.00555309       0.00579379       0.99845065       0.99818945       0.00551223
      0.24500000       0.00597358       0.99839615       0.99812708       0.00568528       0.00593300       0.99835128       0.99808293       0.00564414
      0.24750000       0.00611686       0.99829327       0.99801687       0.00582110       0.00607601       0.99824803       0.99797236       0.00577968
      0.25000000       0.00626408       0.99818635       0.99790246       0.00596070       0.00622295       0.99814075       0.99785761       0.00591901
      0.25250000       0.00641539       0.99807523       0.99778370       0.00610425       0.00637400       0.99802927       0.99773850       0.00606229
      0.25500000       0.00657098       0.99795974       0.99766040       0.00625190       0.00652933       0.99791343       0.99761486       0.00620968
      0.25750000       0.00673102       0.99783971       0.99753240       0.00640384       0.00668911       0.99779304       0.99748652       0.00636136
      0.26000000       0.00689569       0.99771495       0.99739949       0.00656025       0.00685353       0.99766793       0.99735327       0.00651751
      0.26250000       0.00706520       0.99758526       0.99726147       0.00672132       0.00702279       0.99753789       0.99721493       0.00667833
      0.26500000       0.00723976       0.99745043       0.99711814       0.00688726       0.00719710       0.99740271       0.99707127       0.00684403
      0.26750000       0.00741958       0.99731024       0.99696927       0.00705829       0.00737669       0.99726218       0.99692208       0.00701482
      0.27000000       0.00760491       0.99716447       0.99681463       0.00723464       0.00756179       0.99711607       0.99676712       0.00719094
      0.27250000       0.00779598       0.99701286       0.99665396       0.00741655       0.00775264       0.99696412       0.99660613       0.00737262
      0.27500000       0.00799307       0.99685515       0.99648701       0.00760428       0.00794950       0.99680609       0.99643887       0.00756013
      0.27750000       0.00819644       0.99669109       0.99631349       0.00779810       0.00815265       0.99664169       0.99626504       0.00775373
      0.28000000       0.00840639       0.99652036       0.99613311       0.00799830       0.00836239       0.99647064       0.99608436       0.00795372
      0.28250000       0.00862323       0.99634268       0.99594556       0.00820518       0.00857902       0.99629264       0.99589652       0.00816039
      0.28500000       0.00884728       0.99615770       0.99575052       0.00841906       0.00880287       0.99610735       0.99570118       0.00837407
      0.28750000       0.00907889       0.99596510       0.99554763       0.00864029       0.00903429       0.99591443       0.99549799       0.00859511
      0.29000000       0.00931843       0.99576450       0.99533652       0.00886923       0.00927364       0.99571352       0.99528660       0.00882386
      0.29250000       0.00956628       0.99555552       0.99511680       0.00910627       0.00952131       0.99550424       0.99506660       0.00906072
      0.29500000       0.00982288       0.99533774       0.99488806       0.00935181       0.00977773       0.99528616       0.99483758       0.00930609
      0.29750000       0.01008864       0.99511073       0.99464985       0.00960630       0.01004332       0.99505885       0.99459910       0.00956041
      0.30000000       0.01036405       0.99487402       0.99440170       0.00987019       0.01031857       0.99482184       0.99435068       0.00982414
      0.30250000       0.01064961       0.99462711       0.99414310       0.01014399       0.01060397       0.99457464       0.99409182       0.01009778
      0.30500000       0.01094584       0.99436947       0.99387354       0.01042821       0.01090004       0.99431672       0.99382200       0.01038186
