# Chirality               1              -1              -1               1               1              -1              -1               1
# k            phase           phase           phase           phase           phase           phase           phase           phase
      0.60250000       0.96509953       0.04142958       0.04035476       0.96404922       0.96515905       0.04147502       0.04039935       0.96410619
      0.60500000       0.96706736       0.03944036       0.03837209       0.96602371       0.96712686       0.03948607       0.03841702       0.96608072
      0.60750000       0.96889458       0.03758891       0.03652973       0.96786010       0.96895403       0.03763488       0.03657498       0.96791714
      0.61000000       0.97059397       0.03586291       0.03481488       0.96957071       0.97065337       0.03590911       0.03486042       0.96962776
      0.61250000       0.97217693       0.03425136       0.03321614       0.97116655       0.97223626       0.03429778       0.03326196       0.97122359
      0.61500000       0.97365363       0.03274441       0.03172335       0.97265745       0.97371288       0.03279103       0.03176941       0.97271448
      0.61750000       0.97503319       0.03133324       0.03032738       0.97405227       0.97509236       0.03138003       0.03037368       0.97410927
      0.62000000       0.97632377       0.03000990       0.02902008       0.97535892       0.97638284       0.03005685       0.02906658       0.97541588
      0.62250000       0.97753271       0.02876725       0.02779410       0.97658455       0.97759167       0.02881435       0.02784079       0.97664146
      0.62500000       0.97866662       0.02759887       0.02664284       0.97773560       0.97872546       0.02764608       0.02668971       0.97779244
      0.62750000       0.97973143       0.02649892       0.02556036       0.97881789       0.97979015       0.02654625       0.02560738       0.97887466
      0.63000000       0.98073255       0.02546214       0.02454126       0.97983669       0.98079113       0.02550956       0.02458842       0.97989338
      0.63250000       0.98167482       0.02448377       0.02358069       0.98079677       0.98173326       0.02453127       0.02362797       0.98085336
      0.63500000       0.98256268       0.02355945       0.02267422       0.98170247       0.98262097       0.02360702       0.02272161       0.98175896
      0.63750000       0.98340012       0.02268526       0.02181785       0.98255772       0.98345825       0.02273288       0.02186533       0.98261410
      0.64000000       0.98419081       0.02185759       0.02100793       0.98336614       0.98424877       0.02190525       0.02105549       0.98342239
      0.64250000       0.98493805       0.02107317       0.02024114       0.98413099       0.98499584       0.02112086       0.02028876       0.98418712
      0.64500000       0.98564489       0.02032900       0.01951444       0.98485528       0.98570250       0.02037670       0.01956211       0.98491127
      0.64750000       0.98631410       0.01962233       0.01882506       0.98554175       0.98637153       0.01967004       0.01887276       0.98559759
      0.65000000       0.98694823       0.01895065       0.01817045       0.98619291       0.98700546       0.01899835       0.01821818       0.98624860
      0.65250000       0.98754960       0.01831165       0.01754830       0.98681108       0.98760662       0.01835934       0.01759604       0.98686661
      0.65500000       0.98812034       0.01770320       0.01695646       0.98739839       0.98817717       0.01775087       0.01700420       0.98745374
      0.65750000       0.98866244       0.01712336       0.01639296       0.98795678       0.98871905       0.01717099       0.01644069       0.98801195
      0.66000000       0.98917769       0.01657033       0.01585600       0.98848805       0.98923408       0.01661791       0.01590371       0.98854305
      0.66250000       0.98966777       0.01604243       0.01534391       0.98899388       0.98972394       0.01608996       0.01539159       0.98904868
      0.66500000       0.99013421       0.01553815       0.01485515       0.98947579       0.99019015       0.01558561       0.01490278       0.98953040
      0.66750000       0.99057845       0.01505604       0.01438829       0.98993521       0.99063416       0.01510343       0.01443587       0.98998962
      0.67000000       0.99100180       0.01459481       0.01394202       0.99037346       0.99105727       0.01464211       0.01398954       0.99042766
      0.67250000       0.99140549       0.01415322       0.01351512       0.99079176       0.99146071       0.01420044       0.01356257       0.99084574
      0.67500000       0.99179063       0.01373016       0.01310645       0.99119123       0.99184561       0.01377728       0.01315382       0.99124499
      0.67750000       0.99215830       0.01332455       0.01271497       0.99157294       0.99221302       0.01337157       0.01276225       0.99162648
      0.68000000       0.99250945       0.01293544       0.01233970       0.99193786       0.99256392       0.01298234       0.01238689       0.99199117
      0.68250000       0.99284502       0.01256190       0.01197973       0.99228691       0.99289922       0.01260868       0.01202681       0.99233998
      0.68500000       0.99316583       0.01220308       0.01163422       0.99262094       0.99321976       0.01224974       0.01168118       0.99267377
      0.68750000       0.99347268       0.01185821       0.01130237       0.99294074       0.99352634       0.01190473       0.01134922       0.99299332
      0.69000000       0.99376631       0.01152652       0.01098345       0.99324705       0.99381970       0.01157290       0.01103017       0.99329937
      0.69250000       0.99404741       0.01120734       0.01067678       0.99354056       0.99410052       0.01125357       0.01072336       0.99359263
      0.69500000       0.99431662       0.01090001       0.01038171       0.99382193       0.99436944       0.01094609       0.01042814       0.99387373
      0.69750000       0.99457455       0.01060393       0.01009763       0.99409176       0.99462708       0.01064985       0.01014392       0.99414330
      0.70000000       0.99482175       0.01031854       0.00982400       0.99435061       0.99487399       0.01036429       0.00987012       0.99440188
      0.70250000       0.99505876       0.01004329       0.00956027       0.99459904       0.99511070       0.01008887       0.00960623       0.99465003
      0.70500000       0.99528607       0.00977770       0.00930596       0.99483752       0.99533771       0.00982309       0.00935175       0.99488823
      0.70750000       0.99550416       0.00952128       0.00906059       0.99506654       0.99555549       0.00956650       0.00910621       0.99511697
      0.71000000       0.99571345       0.00927361       0.00882374       0.99528655       0.99576447       0.00931863       0.00886917       0.99533668
      0.71250000       0.99591436       0.00903426       0.00859499       0.99549794       0.99596507       0.00907909       0.00864023       0.99554779
      0.71500000       0.99610728       0.00880285       0.00837396       0.99570113       0.99615768       0.00884747       0.00841900       0.99575067
      0.71750000       0.99629257       0.00857900       0.00816028       0.99589647       0.99634265       0.00862341       0.00820512       0.99594571
      0.72000000       0.99647058       0.00836237       0.00795361       0.99608431       0.99652033       0.00840657       0.00799824       0.99613325
      0.72250000       0.99664163       0.00815263       0.00775363       0.99626500       0.99669106       0.00819662       0.00779805       0.99631363
      0.72500000       0.99680603       0.00794948       0.00756003       0.99643882       0.99685513       0.00799324       0.00760423       0.99648714
      0.72750000       0.99696406       0.00775262       0.00737253       0.99660609       0.99701283       0.00779615       0.00741650       0.99665409
      0.73000000       0.99711601       0.00756177       0.00719085       0.99676708       0.99716444       0.00760507       0.00723459       0.99681476
      0.73250000       0.99726213       0.00737668       0.00701474       0.99692204       0.99731022       0.00741973       0.00705824       0.99696940
      0.73500000       0.99740266       0.00719709       0.00684395       0.99707124       0.99745040       0.00723990       0.00688721       0.99711826
      0.73750000       0.99753783       0.00702277       0.00667825       0.99721489       0.99758523       0.00706534       0.00672127       0.99726159
      0.74000000       0.99766788       0.00685351       0.00651743       0.99735324       0.99771493       0.00689583       0.00656020       0.99739960
      0.74250000       0.99779299       0.00668909       0.00636128       0.99748648       0.99783969       0.00673115       0.00640379       0.99753250
      0.74500000       0.99791338       0.00652931       0.00620961       0.99761483       0.99795972       0.00657111       0.00625186       0.99766051
      0.74750000       0.99802922       0.00637399       0.00606222       0.99773847       0.99807520       0.00641552       0.00610421       0.99778380
      0.75000000       0.99814071       0.00622294       0.00591895       0.99785758       0.99818632       0.00626420       0.00596066       0.99790256
      0.75250000       0.99824799       0.00607600       0.00577962       0.99797233       0.99829324       0.00611698       0.00582106       0.99801697
      0.75500000       0.99835124       0.00593299       0.00564408       0.99808290       0.99839613       0.00597370       0.00568524       0.99812717
      0.75750000       0.99845061       0.00579378       0.00551217       0.99818943       0.99849513       0.00583420       0.00555305       0.99823335
      0.76000000       0.99854625       0.00565820       0.00538376       0.99829207       0.99859039       0.00569834       0.00542435       0.99833563
      0.76250000       0.99863828       0.00552613       0.00525871       0.99839097       0.99868205       0.00556597       0.00529901       0.99843416
      0.76500000       0.99872685       0.00539742       0.00513688       0.99848626       0.99877024       0.00543697       0.00517688       0.99852908
      0.76750000       0.99881208       0.00527196       0.00501816       0.99857807       0.99885508       0.00531121       0.00505786       0.99862052
      0.77000000       0.99889409       0.00514962       0.00490242       0.99866652       0.99893671       0.00518857       0.00494181       0.99870860
      0.77250000       0.99897299       0.00503029       0.00478955       0.99875173       0.99901522       0.00506893       0.00482864       0.99879343
      0.77500000       0.99904890       0.00491385       0.00467945       0.99883380       0.99909074       0.00495218       0.00471823       0.99887512
      0.77750000       0.99912191       0.00480021       0.00457202       0.99891286       0.99916336       0.00483822       0.00461047       0.99895379
      0.78000000       0.99919213       0.00468926       0.00446715       0.99898899       0.99923318       0.00472696       0.00450529       0.99902954
      0.78250000       0.99925965       0.00458091       0.00436476       0.99906230       0.99930030       0.00461828       0.00440257       0.99910246
      0.78500000       0.99932456       0.00447506       0.00426475       0.99913287       0.99936481       0.00451211       0.00430223       0.99917265
      0.78750000       0.99938694       0.00437164       0.00416705       0.99920081       0.99942679       0.00440836       0.00420419       0.99924019
      0.79000000       0.99944689       0.00427055       0.00407156       0.99926619       0.99948634       0.00430694       0.00410837       0.99930517
      0.79250000       0.99950448       0.00417172       0.00397822       0.99932909       0.99954352       0.00420777       0.00401469       0.99936768
      0.79500000       0.99955979       0.00407507       0.00388695       0.99938960       0.99959842       0.00411078       0.00392307       0.99942778
      0.79750000       0.99961289       0.00398052       0.00379767       0.99944778       0.99965110       0.00401589       0.00383345       0.99948557
      0.80000000       0.99966385       0.00388802       0.00371033       0.99950372       0.99970164       0.00392304       0.00374576       0.99954110
      0.80250000       0.99971273       0.00379749       0.00362485       0.99955748       0.99975011       0.00383216       0.00365993       0.99959444
      0.80500000       0.99975960       0.00370886       0.00354117       0.99960912       0.99979656       0.00374318       0.00357590       0.99964567
      0.80750000       0.99980453       0.00362209       0.00345925       0.99965871       0.99984107       0.00365605       0.00349361       0.99969485
      0.81000000       0.99984756       0.00353710       0.00337901       0.99970631       0.99988368       0.00357070       0.00341300       0.99974203
      0.81250000       0.99988877       0.00345384       0.00330040       0.99975197       0.99992446       0.00348709       0.00333403       0.99978728
      0.81500000       0.99992819       0.00337226       0.00322337       0.99979576       0.99996346       0.00340514       0.00325664       0.99983065
      0.81750000       0.99996590       0.00329231       0.00314788       0.99983773       0.00000073       0.00332482       0.00318077       0.99987220
      0.82000000       0.00000192       0.00321394       0.00307387       0.99987793       0.00003632       0.00324608       0.00310639       0.99991197
      0.82250000       0.00003632       0.00313709       0.00300130       0.99991641       0.00007028       0.00316886       0.00303344       0.99995003
      0.82500000       0.00006913       0.00306173       0.00293013       0.99995322       0.00010266       0.00309312       0.00296188       0.99998640
      0.82750000       0.00010041       0.00298781       0.00286031       0.99998840       0.00013351       0.00301882       0.00289167       0.00002115
      0.83000000       0.00013020       0.00291529       0.00279179       0.00002200       0.00016285       0.00294592       0.00282277       0.00005432
      0.83250000       0.00015853       0.00284413       0.00272456       0.00005406       0.00019074       0.00287437       0.00275515       0.00008595
      0.83500000       0.00018545       0.00277429       0.00265855       0.00008462       0.00021722       0.00280414       0.00268875       0.00011607
      0.83750000       0.00021100       0.00270573       0.00259375       0.00011373       0.00024232       0.00273519       0.00262355       0.00014474
      0.84000000       0.00023520       0.00263841       0.00253011       0.00014141       0.00026608       0.00266748       0.00255952       0.00017198
      0.84250000       0.00025811       0.00257231       0.00246761       0.00016771       0.00028853       0.00260098       0.00249661       0.00019783
      0.84500000       0.00027974       0.00250739       0.00240621       0.00019266       0.00030972       0.00253566       0.00243480       0.00022234
      0.84750000       0.00030014       0.00244361       0.00234587       0.00021630       0.00032967       0.00247148       0.00237406       0.00024553
      0.85000000       0.00031934       0.00238095       0.00228658       0.00023865       0.00034841       0.00240842       0.00231436       0.00026744
      0.85250000       0.00033736       0.00231939       0.00222830       0.00025976       0.00036597       0.00234645       0.00225567       0.00028809
      0.85500000       0.00035424       0.00225888       0.00217101       0.00027964       0.00038239       0.00228553       0.00219797       0.00030753
      0.85750000       0.00037000       0.00219940       0.00211468       0.00029834       0.00039769       0.00222564       0.00214122       0.00032577
      0.86000000       0.00038467       0.00214093       0.00205929       0.00031588       0.00041191       0.00216676       0.00208541       0.00034285
      0.86250000       0.00039828       0.00208345       0.00200481       0.00033228       0.00042505       0.00210886       0.00203051       0.00035880
      0.86500000       0.00041085       0.00202692       0.00195121       0.00034757       0.00043716       0.00205192       0.00197649       0.00037364
      0.86750000       0.00042241       0.00197133       0.00189849       0.00036179       0.00044826       0.00199591       0.00192334       0.00038739
      0.87000000       0.00043298       0.00191665       0.00184661       0.00037494       0.00045836       0.00194080       0.00187103       0.00040008
      0.87250000       0.00044259       0.00186287       0.00179556       0.00038706       0.00046750       0.00188659       0.00181955       0.00041174
      0.87500000       0.00045125       0.00180995       0.00174531       0.00039817       0.00047569       0.00183325       0.00176887       0.00042239
      0.87750000       0.00045898       0.00175789       0.00169585       0.00040830       0.00048296       0.00178076       0.00171898       0.00043205
      0.88000000       0.00046582       0.00170666       0.00164716       0.00041745       0.00048932       0.00172910       0.00166985       0.00044074
      0.88250000       0.00047177       0.00165625       0.00159923       0.00042566       0.00049480       0.00167826       0.00162148       0.00044848
      0.88500000       0.00047686       0.00160663       0.00155203       0.00043295       0.00049941       0.00162821       0.00157384       0.00045530
      0.88750000       0.00048110       0.00155780       0.00150555       0.00043933       0.00050318       0.00157894       0.00152691       0.00046120
      0.89000000       0.00048452       0.00150973       0.00145977       0.00044481       0.00050612       0.00153043       0.00148069       0.00046622
      0.89250000       0.00048712       0.00146241       0.00141469       0.00044943       0.00050825       0.00148267       0.00143516       0.00047037
      0.89500000       0.00048893       0.00141583       0.00137028       0.00045320       0.00050958       0.00143564       0.00139031       0.00047366
      0.89750000       0.00048997       0.00136997       0.00132654       0.00045613       0.00051013       0.00138934       0.00134611       0.00047611
      0.90000000       0.00049024       0.00132481       0.00128344       0.00045824       0.00050992       0.00134374       0.00130257       0.00047775
      0.90250000       0.00048976       0.00128035       0.00124099       0.00045954       0.00050897       0.00129883       0.00125966       0.00047857
      0.90500000       0.00048856       0.00123657       0.00119916       0.00046006       0.00050728       0.00125460       0.00121738       0.00047861
      0.90750000       0.00048663       0.00119347       0.00115794       0.00045980       0.00050487       0.00121104       0.00117570       0.00047787
      0.91000000       0.00048400       0.00115102       0.00111733       0.00045878       0.00050175       0.00116814       0.00113464       0.00047637
      0.91250000       0.00048067       0.00110921       0.00107732       0.00045701       0.00049794       0.00112588       0.00109416       0.00047412
      0.91500000       0.00047667       0.00106805       0.00103789       0.00045451       0.00049345       0.00108426       0.00105427       0.00047114
      0.91750000       0.00047199       0.00102751       0.00099903       0.00045129       0.00048829       0.00104327       0.00101495       0.00046744
      0.92000000       0.00046666       0.00098760       0.00096074       0.00044735       0.00048247       0.00100289       0.00097619       0.00046302
      0.92250000       0.00046069       0.00094829       0.00092301       0.00044272       0.00047601       0.00096312       0.00093799       0.00045791
      0.92500000       0.00045408       0.00090958       0.00088582       0.00043741       0.00046891       0.00092395       0.00090034       0.00045211
      0.92750000       0.00044685       0.00087146       0.00084918       0.00043142       0.00046119       0.00088537       0.00086323       0.00044563
      0.93000000       0.00043900       0.00083393       0.00081307       0.00042476       0.00045285       0.00084737       0.00082665       0.00043849
      0.93250000       0.00043055       0.00079698       0.00077749       0.00041745       0.00044390       0.00080995       0.00079059       0.00043069
      0.93500000       0.00042150       0.00076059       0.00074243       0.00040950       0.00043437       0.00077310       0.00075506       0.00042225
      0.93750000       0.00041186       0.00072477       0.00070788       0.00040090       0.00042424       0.00073681       0.00072004       0.00041317
      0.94000000       0.00040165       0.00068951       0.00067385       0.00039169       0.00041354       0.00070107       0.00068553       0.00040346
      0.94250000       0.00039087       0.00065480       0.00064031       0.00038185       0.00040226       0.00066589       0.00065152       0.00039314
      0.94500000       0.00037953       0.00062063       0.00060728       0.00037140       0.00039043       0.00063125       0.00061801       0.00038220
      0.94750000       0.00036763       0.00058700       0.00057474       0.00036036       0.00037803       0.00059715       0.00058499       0.00037067
      0.95000000       0.00035519       0.00055391       0.00054268       0.00034871       0.00036510       0.00056359       0.00055245       0.00035853
      0.95250000       0.00034220       0.00052136       0.00051112       0.00033648       0.00035162       0.00053055       0.00052041       0.00034581
      0.95500000       0.00032869       0.00048933       0.00048003       0.00032367       0.00033761       0.00049805       0.00048884       0.00033251
      0.95750000       0.00031464       0.00045782       0.00044942       0.00031029       0.00032307       0.00046606       0.00045774       0.00031864
      0.96000000       0.00030008       0.00042683       0.00041928       0.00029634       0.00030801       0.00043460       0.00042712       0.00030420
      0.96250000       0.00028500       0.00039636       0.00038962       0.00028183       0.00029243       0.00040364       0.00039698       0.00028920
      0.96500000       0.00026941       0.00036640       0.00036042       0.00026676       0.00027634       0.00037321       0.00036729       0.00027364
      0.96750000       0.00025331       0.00033696       0.00033169       0.00025115       0.00025975       0.00034328       0.00033808       0.00025753
      0.97000000       0.00023672       0.00030802       0.00030343       0.00023498       0.00024266       0.00031386       0.00030932       0.00024088
      0.97250000       0.00021963       0.00027959       0.00027562       0.00021828       0.00022508       0.00028495       0.00028103       0.00022368
      0.97500000       0.00020204       0.00025166       0.00024828       0.00020104       0.00020700       0.00025654       0.00025320       0.00020595
      0.97750000       0.00018398       0.00022424       0.00022139       0.00018327       0.00018843       0.00022863       0.00022582       0.00018769
      0.98000000       0.00016542       0.00019732       0.00019497       0.00016498       0.00016939       0.00020123       0.00019891       0.00016890
      0.98250000       0.00014639       0.00017091       0.00016900       0.00014616       0.00014986       0.00017432       0.00017245       0.00014959
      0.98500000       0.00012689       0.00014499       0.00014348       0.00012682       0.00012986       0.00014792       0.00014644       0.00012976
      0.98750000       0.00010691       0.00011957       0.00011843       0.00010696       0.00010938       0.00012201       0.00012089       0.00010941
      0.99000000       0.00008646       0.00009465       0.00009383       0.00008659       0.00008844       0.00009661       0.00009580       0.00008855
      0.99250000       0.00006554       0.00007024       0.00006968       0.00006570       0.00006702       0.00007171       0.00007116       0.00006717
      0.99500000       0.00004416       0.00004632       0.00004600       0.00004431       0.00004515       0.00004730       0.00004699       0.00004529
      0.99750000       0.00002231       0.00002291       0.00002277       0.00002241       0.00002280       0.00002340       0.00002326       0.00002290
      1.00000000       0.00000225       0.00000227       0.00000226       0.00000226       0.00000230       0.00000232       0.00000231       0.00000231
