     # Chirality               0               0
            # k            phase           phase
      0.24489796      0.00480160      0.00317205      0.00005292      0.00009532      0.00009911      0.00010135      0.00010213      0.00010287      0.00010517      0.00015084      0.00021366      0.00028083      0.00028809      0.00029259      0.00029334      0.00029648      0.00029788      0.00247002      0.99955899      0.00005323      0.00009502      0.00009897      0.00010130      0.00010217      0.00010283      0.00010512      0.00014674      0.00021358      0.00028028      0.00028807      0.00029263      0.00029334      0.00029646      0.00029784      0.00135679      0.99904769
      0.26530612      0.00536852      0.00333693      0.00005628      0.00010140      0.00010545      0.00010782      0.00010868      0.00010947      0.00011191      0.00016011      0.00022734      0.00029883      0.00030656      0.00031135      0.00031214      0.00031549      0.00031697      0.00293528      0.99948345      0.00005660      0.00010108      0.00010530      0.00010777      0.00010872      0.00010943      0.00011186      0.00015593      0.00022726      0.00029825      0.00030653      0.00031139      0.00031214      0.00031547      0.00031692      0.00154522      0.99884706
      0.28571429      0.00596729      0.00345210      0.00005940      0.00010707      0.00011134      0.00011384      0.00011477      0.00011562      0.00011820      0.00016872      0.00024009      0.00031561      0.00032376      0.00032882      0.00032966      0.00033321      0.00033475      0.00344685      0.99940557      0.00005974      0.00010673      0.00011119      0.00011379      0.00011482      0.00011558      0.00011814      0.00016440      0.00024001      0.00031500      0.00032374      0.00032886      0.00032966      0.00033318      0.00033470      0.00172693      0.99861563
      0.30612245      0.00659836      0.00349863      0.00006228      0.00011230      0.00011678      0.00011940      0.00012040      0.00012129      0.00012399      0.00017666      0.00025187      0.00033109      0.00033964      0.00034495      0.00034583      0.00034955      0.00035115      0.00400455      0.99932664      0.00006264      0.00011193      0.00011662      0.00011934      0.00012045      0.00012125      0.00012393      0.00017212      0.00025178      0.00033045      0.00033962      0.00034499      0.00034583      0.00034952      0.00035110      0.00189220      0.99834487
      0.32653061      0.00726304      0.00345013      0.00006490      0.00011706      0.00012174      0.00012446      0.00012553      0.00012647      0.00012928      0.00018389      0.00026262      0.00034521      0.00035412      0.00035965      0.00036057      0.00036446      0.00036611      0.00460872      0.99924825      0.00006527      0.00011667      0.00012157      0.00012439      0.00012558      0.00012643      0.00012922      0.00017903      0.00026252      0.00034453      0.00035409      0.00035970      0.00036057      0.00036443      0.00036605      0.00202901      0.99802107
      0.34693878      0.00796536      0.00326871      0.00006726      0.00012135      0.00012620      0.00012901      0.00013014      0.00013113      0.00013404      0.00019040      0.00027230      0.00035791      0.00036714      0.00037288      0.00037383      0.00037786      0.00037957      0.00526188      0.99917246      0.00006765      0.00012093      0.00012601      0.00012893      0.00013019      0.00013109      0.00013398      0.00018508      0.00027220      0.00035719      0.00036711      0.00037293      0.00037383      0.00037783      0.00037950      0.00212294      0.99762132
      0.36734694      0.00871545      0.00289728      0.00006935      0.00012513      0.00013014      0.00013303      0.00013422      0.00013525      0.00013825      0.00019617      0.00028087      0.00036914      0.00037866      0.00038458      0.00038556      0.00038972      0.00039146      0.00597179      0.99910213      0.00006974      0.00012467      0.00012992      0.00013294      0.00013427      0.00013521      0.00013818      0.00019024      0.00028076      0.00036837      0.00037862      0.00038463      0.00038556      0.00038969      0.00039138      0.00215731      0.99710578
      0.38775510      0.00953643      0.00224372      0.00007116      0.00012841      0.00013354      0.00013651      0.00013775      0.00013882      0.00014189      0.00020123      0.00028829      0.00037886      0.00038862      0.00039469      0.00039570      0.00039997      0.00040174      0.00675765      0.99904160      0.00007156      0.00012790      0.00013330      0.00013639      0.00013780      0.00013877      0.00014182      0.00019440      0.00028817      0.00037802      0.00038857      0.00039474      0.00039570      0.00039994      0.00040166      0.00211398      0.99640099
      0.40816327      0.01047967      0.00114448      0.00007268      0.00013116      0.00013640      0.00013943      0.00014071      0.00014181      0.00014495      0.00020558      0.00029454      0.00038703      0.00039699      0.00040319      0.00040422      0.00040858      0.00041038      0.00766402      0.99899801      0.00007308      0.00013058      0.00013612      0.00013928      0.00014076      0.00014176      0.00014488      0.00019744      0.00029441      0.00038610      0.00039692      0.00040324      0.00040421      0.00040854      0.00041028      0.00197566      0.99536122
      0.42857143      0.01166505      0.99926870      0.00007392      0.00013338      0.00013871      0.00014178      0.00014309      0.00014422      0.00014741      0.00020933      0.00029958      0.00039361      0.00040373      0.00041003      0.00041107      0.00041550      0.00041733      0.00879803      0.99898432      0.00007431      0.00013270      0.00013836      0.00014159      0.00014314      0.00014416      0.00014734      0.00019912      0.00029944      0.00039254      0.00040362      0.00041008      0.00041106      0.00041547      0.00041721      0.00173146      0.99366712
