     # Chirality               1              -1
            # k            phase           phase
      0.22448980      0.15521348      0.98832353      0.15540325      0.99998141      0.99998148      0.99998153      0.99998168      0.99998180      0.99998209      0.99998568      0.99998622      0.99999290      0.99999354      0.99999360      0.99999362      0.99999366      0.99999381      0.99999386      0.99999621      0.99999713      0.98851294      0.99998141      0.99998144      0.99998160      0.99998167      0.99998187      0.99998217      0.99998561      0.99998603      0.99999323      0.99999354      0.99999360      0.99999364      0.99999368      0.99999380      0.99999407      0.99999617      0.99999707
      0.24489796      0.18466855      0.98517565      0.18487221      0.99998005      0.99998012      0.99998018      0.99998034      0.99998047      0.99998078      0.99998463      0.99998521      0.99999238      0.99999307      0.99999313      0.99999316      0.99999319      0.99999336      0.99999341      0.99999593      0.99999692      0.98537890      0.99998005      0.99998009      0.99998025      0.99998032      0.99998054      0.99998086      0.99998456      0.99998501      0.99999275      0.99999307      0.99999313      0.99999317      0.99999322      0.99999335      0.99999364      0.99999589      0.99999685
      0.26530612      0.21537173      0.98126894      0.21558844      0.99997877      0.99997884      0.99997891      0.99997908      0.99997922      0.99997954      0.99998365      0.99998426      0.99999189      0.99999263      0.99999269      0.99999272      0.99999275      0.99999294      0.99999299      0.99999567      0.99999673      0.98148520      0.99997877      0.99997881      0.99997899      0.99997906      0.99997929      0.99997963      0.99998357      0.99998405      0.99999229      0.99999262      0.99999269      0.99999273      0.99999279      0.99999292      0.99999324      0.99999563      0.99999665
      0.28571429      0.24642596      0.97637590      0.24665484      0.99997758      0.99997766      0.99997772      0.99997791      0.99997805      0.99997839      0.99998273      0.99998338      0.99999143      0.99999221      0.99999228      0.99999231      0.99999235      0.99999254      0.99999260      0.99999543      0.99999654      0.97660427      0.99997757      0.99997762      0.99997781      0.99997789      0.99997813      0.99997849      0.99998264      0.99998316      0.99999187      0.99999221      0.99999228      0.99999233      0.99999238      0.99999252      0.99999287      0.99999539      0.99999647
      0.30612245      0.27696811      0.97017755      0.27720822      0.99997648      0.99997656      0.99997663      0.99997682      0.99997697      0.99997733      0.99998188      0.99998257      0.99999101      0.99999183      0.99999190      0.99999193      0.99999197      0.99999217      0.99999224      0.99999521      0.99999637      0.97041710      0.99997648      0.99997652      0.99997672      0.99997680      0.99997706      0.99997744      0.99998179      0.99998234      0.99999148      0.99999183      0.99999190      0.99999195      0.99999201      0.99999216      0.99999252      0.99999516      0.99999629
      0.32653061      0.30632944      0.96221777      0.30657978      0.99997548      0.99997556      0.99997564      0.99997584      0.99997599      0.99997637      0.99998111      0.99998182      0.99999063      0.99999148      0.99999155      0.99999159      0.99999163      0.99999184      0.99999191      0.99999500      0.99999622      0.96246753      0.99997547      0.99997552      0.99997573      0.99997581      0.99997608      0.99997647      0.99998102      0.99998158      0.99999112      0.99999148      0.99999156      0.99999161      0.99999167      0.99999182      0.99999220      0.99999496      0.99999614
      0.34693878      0.33411399      0.95182893      0.33437353      0.99997457      0.99997466      0.99997474      0.99997495      0.99997511      0.99997550      0.99998042      0.99998116      0.99999029      0.99999117      0.99999124      0.99999128      0.99999132      0.99999154      0.99999161      0.99999482      0.99999608      0.95208787      0.99997457      0.99997462      0.99997483      0.99997492      0.99997520      0.99997561      0.99998032      0.99998091      0.99999079      0.99999117      0.99999125      0.99999130      0.99999136      0.99999152      0.99999192      0.99999477      0.99999599
      0.36734694      0.36018645      0.93800611      0.36045414      0.99997378      0.99997387      0.99997395      0.99997416      0.99997433      0.99997473      0.99997980      0.99998056      0.99998998      0.99999089      0.99999097      0.99999101      0.99999105      0.99999127      0.99999134      0.99999466      0.99999596      0.93827317      0.99997377      0.99997383      0.99997404      0.99997414      0.99997442      0.99997484      0.99997970      0.99998031      0.99999050      0.99999089      0.99999097      0.99999103      0.99999109      0.99999126      0.99999166      0.99999461      0.99999587
      0.38775510      0.38460770      0.91918508      0.38488242      0.99997309      0.99997318      0.99997326      0.99997348      0.99997365      0.99997407      0.99997927      0.99998005      0.99998972      0.99999065      0.99999073      0.99999077      0.99999081      0.99999104      0.99999112      0.99999452      0.99999585      0.91945918      0.99997308      0.99997314      0.99997336      0.99997346      0.99997375      0.99997418      0.99997917      0.99997979      0.99999025      0.99999065      0.99999074      0.99999079      0.99999086      0.99999103      0.99999144      0.99999447      0.99999576
      0.40816327      0.40756091      0.89283277      0.40784155      0.99997251      0.99997260      0.99997269      0.99997291      0.99997309      0.99997351      0.99997883      0.99997962      0.99998950      0.99999045      0.99999053      0.99999057      0.99999062      0.99999085      0.99999093      0.99999440      0.99999576      0.89311278      0.99997250      0.99997256      0.99997279      0.99997288      0.99997318      0.99997363      0.99997872      0.99997935      0.99999003      0.99999045      0.99999054      0.99999059      0.99999066      0.99999083      0.99999126      0.99999434      0.99999567
