     # Chirality              -1
            # k            phase
      0.46938776      0.60474130      0.60503226      0.99997175      0.99997188      0.99997198      0.99997225      0.99997241      0.99997280      0.99997789      0.99998040      0.99998500      0.99999016      0.99999025      0.99999026      0.99999030      0.99999052      0.99999090      0.99999407      0.99999622
      0.48979592      0.52944118      0.52973336      0.99997163      0.99997176      0.99997186      0.99997214      0.99997230      0.99997269      0.99997780      0.99998032      0.99998493      0.99999012      0.99999021      0.99999022      0.99999026      0.99999048      0.99999086      0.99999404      0.99999620
      0.51020408      0.46993037      0.47022256      0.99997163      0.99997176      0.99997186      0.99997214      0.99997230      0.99997269      0.99997780      0.99998032      0.99998492      0.99999012      0.99999021      0.99999022      0.99999026      0.99999048      0.99999086      0.99999404      0.99999620
      0.53061224      0.39493033      0.39522134      0.99997175      0.99997188      0.99997198      0.99997225      0.99997241      0.99997280      0.99997789      0.99998040      0.99998498      0.99999016      0.99999025      0.99999026      0.99999030      0.99999052      0.99999090      0.99999407      0.99999621
      0.55102041      0.28110185      0.28139047      0.99997198      0.99997211      0.99997221      0.99997248      0.99997264      0.99997302      0.99997807      0.99998056      0.99998510      0.99999024      0.99999033      0.99999034      0.99999037      0.99999060      0.99999097      0.99999411      0.99999623
      0.57142857      0.17724418      0.17752925      0.99997233      0.99997246      0.99997255      0.99997282      0.99997298      0.99997336      0.99997834      0.99998080      0.99998527      0.99999036      0.99999045      0.99999046      0.99999049      0.99999071      0.99999108      0.99999419      0.99999627
      0.59183673      0.12000701      0.12028736      0.99997279      0.99997292      0.99997301      0.99997327      0.99997343      0.99997380      0.99997869      0.99998112      0.99998551      0.99999052      0.99999061      0.99999062      0.99999065      0.99999086      0.99999123      0.99999428      0.99999632
      0.61224490      0.08857866      0.08885313      0.99997336      0.99997349      0.99997358      0.99997384      0.99997399      0.99997435      0.99997914      0.99998152      0.99998581      0.99999072      0.99999080      0.99999082      0.99999085      0.99999106      0.99999142      0.99999440      0.99999639
      0.63265306      0.06910288      0.06937034      0.99997404      0.99997417      0.99997425      0.99997451      0.99997466      0.99997501      0.99997967      0.99998199      0.99998617      0.99999096      0.99999104      0.99999105      0.99999108      0.99999128      0.99999163      0.99999454      0.99999647
      0.65306122      0.05561463      0.05587397      0.99997483      0.99997495      0.99997504      0.99997528      0.99997543      0.99997577      0.99998029      0.99998254      0.99998659      0.99999124      0.99999131      0.99999133      0.99999135      0.99999155      0.99999189      0.99999471      0.99999657
      0.67346939      0.04551499      0.04576513      0.99997573      0.99997584      0.99997592      0.99997616      0.99997630      0.99997663      0.99998099      0.99998316      0.99998707      0.99999155      0.99999162      0.99999163      0.99999166      0.99999185      0.99999218      0.99999490      0.99999669
      0.69387755      0.03747573      0.03771565      0.99997672      0.99997683      0.99997691      0.99997713      0.99997727      0.99997759      0.99998176      0.99998385      0.99998760      0.99999189      0.99999196      0.99999198      0.99999200      0.99999218      0.99999250      0.99999511      0.99999682
      0.71428571      0.03074404      0.03097275      0.99997781      0.99997791      0.99997799      0.99997820      0.99997833      0.99997863      0.99998262      0.99998460      0.99998818      0.99999227      0.99999234      0.99999235      0.99999238      0.99999254      0.99999285      0.99999534      0.99999696
      0.73469388      0.02484647      0.02506302      0.99997899      0.99997909      0.99997916      0.99997936      0.99997948      0.99997977      0.99998354      0.99998542      0.99998881      0.99999268      0.99999274      0.99999276      0.99999278      0.99999294      0.99999323      0.99999558      0.99999712
      0.75510204      0.01945235      0.01965584      0.99998025      0.99998035      0.99998041      0.99998060      0.99998072      0.99998099      0.99998454      0.99998630      0.99998949      0.99999312      0.99999318      0.99999319      0.99999322      0.99999337      0.99999364      0.99999585      0.99999729
      0.77551020      0.01432959      0.01451919      0.99998160      0.99998169      0.99998175      0.99998193      0.99998203      0.99998229      0.99998559      0.99998723      0.99999022      0.99999359      0.99999365      0.99999366      0.99999368      0.99999382      0.99999407      0.99999613      0.99999748
